K,0
L1,1
L2,2
L3,3
M1,4
M2,5
M3,6
M4,7
M5,8
N1,9
N2,10
N3,11
N4,12
N5,13
N6,14
N7,15
O1,16
O2,17
O3,18
O4,19
O5,20
O6,21
O7,22
P1,23
P2,24
P3,25
P4,26
P5,27
Q1,28
Q2,29
Q3,30
