K,L1,-1
K,L2,-2
K,L3,-3
K,M1,-4
K,M2,-5
K,M3,-6
K,M4,-7
K,M5,-8
K,N1,-9
K,N2,-10
K,N3,-11
K,N4,-12
K,N5,-13
K,N6,-14
K,N7,-15
L1,L2,-30
L1,L3,-31
L1,M1,-32
L1,M2,-33
L1,M3,-34
L1,M4,-35
L1,M5,-36
L1,N1,-37
L1,N2,-38
L1,N3,-39
L1,N4,-40
L1,N5,-41
L1,N67,-43
L1,N6,-42
L1,N7,-44
L2,L3,-59
L2,M1,-60
L2,M2,-61
L2,M3,-62
L2,M4,-63
L2,M5,-64
L2,N1,-65
L2,N2,-66
L2,N3,-67
L2,N4,-68
L2,N5,-69
L2,N6,-70
L2,N7,-71
L3,M1,-86
L3,M2,-87
L3,M3,-88
L3,M4,-89
L3,M5,-90
L3,N1,-91
L3,N2,-92
L3,N3,-93
L3,N4,-94
L3,N5,-95
L3,N6,-96
L3,N7,-97
M1,M2,-114
M1,M3,-115
M1,M4,-116
M1,M5,-117
M1,N1,-118
M1,N2,-119
M1,N3,-120
M1,N4,-121
M1,N5,-122
M1,N6,-123
M1,N7,-124
M2,M3,-137
M2,M4,-138
M2,M5,-139
M2,N1,-140
M2,N2,-141
M2,N3,-142
M2,N4,-143
M2,N5,-144
M2,N6,-145
M2,N7,-146
M3,M4,-159
M3,M5,-160
M3,N1,-161
M3,N2,-162
M3,N3,-163
M3,N4,-164
M3,N5,-165
M3,N6,-166
M3,N7,-167
M4,M5,-181
M4,N1,-182
M4,N2,-183
M4,N3,-184
M4,N4,-185
M4,N5,-186
M4,N6,-187
M4,N7,-188
M5,N1,-201
M5,N2,-202
M5,N3,-203
M5,N4,-204
M5,N5,-205
M5,N6,-206
M5,N7,-207
N1,N2,-220
N1,N3,-221
N1,N4,-222
N1,N5,-223
N1,N6,-224
N1,N7,-225
N2,N3,-238
N2,N4,-239
N2,N5,-240
N2,N6,-241
N2,N7,-242
N3,N4,-255
N3,N5,-256
N3,N6,-257
N3,N7,-258
N4,N5,-271
N4,N6,-272
N4,N7,-273
N5,N6,-286
N5,N7,-287
N6,N7,-300
